(-0.00590089443259892,0.0486277590819269)
(0.00734013006215788,0.0185851848404567)
(-0.00314518761537765,0.00552001591594052)
(0.00245258563694403,0.00283495428387928)
(-0.00132124147435525,0.000549042457561978)
(0.000887128817902295,0.000513270490596785)
(-0.00052114897520425,-1.57009531810839e-06)
(0.000331472277873968,0.000117795506477581)
(-0.000200816631189,-2.93884564254011e-05)
(0.000125400374053029,3.42148895504866e-05)
(-7.70052192283973e-05,-1.51944437893687e-05)
(4.7632871527082e-05,1.1519252027975e-05)
(-2.92370290720053e-05,-6.2747703238918e-06)
(1.8116892761284e-05,4.17009906537516e-06)
(-1.12193629785432e-05,-2.47946450863988e-06)
(6.86528305560938e-06,1.57635465619139e-06)
