(0.540387981332947,0.325288254823333)
(0.140885302431244,0.258798480078885)
(0.0239873300586372,0.411553328276524)
(-0.140745615337018,-0.221138657549357)
(-0.050400577239631,-0.15250024803355)
(-0.0297039112675747,-0.163828607731137)
(-0.00198172170555708,-0.18776280920903)
(0.0340149946837221,-0.0710767695559804)
(0.358885526271742,-0.869154516682549)
(0.554150368613892,0.256425981147788)
(0.128724924027961,0.195359853988261)
(0.0497089847825451,0.137709527027302)
(-0.00958676794544996,0.331032987919819)
(-0.156585111340536,-0.287921792732654)
(-0.0565281229065391,-0.221485740544946)
(-0.0227297610820953,-0.253335843559974)
