(-0.0258462084589092,-0.00174792784322867)
(0.00841777195949772,0.0126743841226)
(-0.00738382855351834,-0.00796163722654451)
(0.00523450779908459,0.0059844052330838)
(-0.00385299635172512,-0.0043362487725275)
(0.00280522294586829,0.00317801597151409)
(-0.00205266405049575,-0.00231559806151704)
(0.00149670006124191,0.00169329896594311)
(-0.00109414173977017,-0.00123529951027637)
(0.000798366569562846,0.000903949144829882)
(-0.000584086389709534,-0.000661054602545456)
(0.00042730287467725,0.00048347731118772)
(-0.000311859797553999,-0.000351849570744489)
(0.000226978075196473,0.000256040109434607)
(-0.000165982349558909,-0.00018793281008081)
(0.000121655099200835,0.000137755722970914)
(-8.93255107558729e-05,-0.000100694507678823)
(6.51974007703703e-05,7.30166915338444e-05)
(-4.66975951181944e-05,-5.19443114521415e-05)
(3.31986431750907e-05,3.66720365209795e-05)
(-2.36671226667873e-05,-2.63620431584691e-05)
(1.68809342312955e-05,1.86665562588343e-05)
(-1.19079681729453e-05,-1.30412512776342e-05)
(8.72022150399968e-06,9.85516151871033e-06)
(-6.36226460566781e-06,-7.19699226963478e-06)
